epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,103.208,0.77753,0.73907,1.47211,0.02849,0.92965,0.92559,0.96503,0.81587,0.61585,0.4819,1.36713,0.01409,0.00197646,0.00197646,0.0688106
2,190.439,0.72576,0.5423,1.41049,0.0214,0.69438,0.7928,0.67533,0.57813,0.56992,1.20278,1.34344,0.00892,0.00394982,0.00394982,0.0374507
3,276.481,0.71425,0.52071,1.38695,0.02321,0.9691,0.94578,0.98765,0.86674,0.54496,0.38911,1.34017,0.00947,0.00591007,0.00591007,0.00607757
4,362.458,0.66468,0.4713,1.35572,0.0214,0.96487,0.97665,0.99087,0.87513,0.51678,0.37061,1.28145,0.00994,0.00590032,0.00590032,0.00590032
5,448.368,0.65126,0.44312,1.32807,0.01895,0.96493,0.96353,0.99047,0.87969,0.49482,0.38658,1.22318,0.00842,0.00588065,0.00588065,0.00588065
6,534.135,0.63322,0.43755,1.31313,0.01762,0.96048,0.96932,0.99126,0.91399,0.4112,0.34023,1.14299,0.00719,0.00586099,0.00586099,0.00586099
7,619.764,0.61626,0.42109,1.28282,0.01758,0.97388,0.97936,0.99355,0.914,0.40677,0.29725,1.10622,0.00625,0.00584132,0.00584132,0.00584132
8,705.629,0.60212,0.39675,1.24261,0.01905,0.97003,0.94449,0.98439,0.90981,0.42026,0.32987,1.15373,0.00743,0.00582165,0.00582165,0.00582165
9,791.18,0.59832,0.38958,1.25479,0.01701,0.96959,0.9786,0.99327,0.9141,0.4232,0.28457,1.15107,0.00646,0.00580199,0.00580199,0.00580199
10,876.955,0.5714,0.37701,1.23449,0.01497,0.97913,0.95847,0.98267,0.91232,0.40972,0.28589,1.15948,0.00564,0.00578232,0.00578232,0.00578232
11,962.59,0.57194,0.3769,1.23138,0.01566,0.95608,0.9679,0.99049,0.91204,0.42677,0.34786,1.11733,0.01074,0.00576266,0.00576266,0.00576266
12,1048.14,0.57149,0.38012,1.23196,0.01725,0.97203,0.9804,0.99296,0.92782,0.3885,0.27633,1.10952,0.0068,0.00574299,0.00574299,0.00574299
13,1133.96,0.57905,0.3785,1.21722,0.01619,0.98243,0.97763,0.99364,0.93447,0.36027,0.22865,1.05917,0.00476,0.00572333,0.00572333,0.00572333
14,1219.69,0.55674,0.36607,1.20179,0.01481,0.97318,0.9883,0.99341,0.92881,0.3817,0.2495,1.10148,0.00624,0.00570366,0.00570366,0.00570366
15,1305.34,0.56173,0.35878,1.21199,0.01719,0.97925,0.98444,0.99386,0.93653,0.3649,0.23419,1.08007,0.00438,0.00568399,0.00568399,0.00568399
16,1391.14,0.55083,0.34794,1.20225,0.01401,0.97153,0.98541,0.99132,0.92161,0.38186,0.25309,1.07683,0.00594,0.00566433,0.00566433,0.00566433
17,1476.62,0.54405,0.34936,1.1919,0.01426,0.98528,0.97683,0.99415,0.93455,0.36705,0.22633,1.07147,0.00435,0.00564466,0.00564466,0.00564466
18,1562.23,0.54106,0.34573,1.18247,0.01495,0.97699,0.98054,0.99353,0.93886,0.35284,0.23484,1.04338,0.00513,0.005625,0.005625,0.005625
19,1647.92,0.52708,0.33444,1.18083,0.01398,0.96857,0.98054,0.9924,0.92314,0.40291,0.2598,1.12102,0.00642,0.00560533,0.00560533,0.00560533
20,1733.46,0.53705,0.34716,1.18921,0.01424,0.9847,0.98541,0.99366,0.93806,0.35165,0.22772,1.0613,0.0047,0.00558566,0.00558566,0.00558566
21,1819.24,0.53375,0.34321,1.17711,0.01399,0.98103,0.97957,0.99371,0.9327,0.36944,0.24274,1.0584,0.00567,0.005566,0.005566,0.005566
22,1904.93,0.53419,0.33692,1.1857,0.01387,0.97494,0.98415,0.99302,0.92382,0.39555,0.24542,1.15333,0.00539,0.00554633,0.00554633,0.00554633
23,1990.53,0.51512,0.3332,1.15678,0.01241,0.97569,0.97763,0.99283,0.93163,0.36581,0.25902,1.07936,0.00535,0.00552667,0.00552667,0.00552667
24,2076.18,0.5234,0.33632,1.1646,0.01264,0.98187,0.98249,0.99359,0.9311,0.38763,0.22932,1.09234,0.00515,0.005507,0.005507,0.005507
25,2161.69,0.53248,0.33622,1.18105,0.01388,0.98071,0.98925,0.99422,0.94054,0.34551,0.22376,1.02827,0.0065,0.00548734,0.00548734,0.00548734
26,2247.66,0.51892,0.33012,1.15799,0.01196,0.98345,0.98278,0.99388,0.93804,0.35191,0.22113,1.05357,0.00419,0.00546767,0.00546767,0.00546767
27,2333.16,0.51413,0.3261,1.15657,0.01233,0.97883,0.98974,0.9941,0.9365,0.35757,0.21711,1.07482,0.0045,0.005448,0.005448,0.005448
28,2418.78,0.51644,0.32623,1.16929,0.01202,0.97499,0.98579,0.99321,0.93852,0.35525,0.22864,1.07129,0.00525,0.00542834,0.00542834,0.00542834
29,2504.47,0.5135,0.32905,1.16352,0.01173,0.97448,0.9893,0.99328,0.93901,0.34878,0.22087,1.04024,0.00626,0.00540867,0.00540867,0.00540867
30,2590.22,0.51119,0.32075,1.1604,0.01321,0.98348,0.98428,0.99389,0.9418,0.34134,0.20696,1.03953,0.00422,0.00538901,0.00538901,0.00538901
31,2675.97,0.51669,0.32571,1.16784,0.01182,0.97377,0.9893,0.99321,0.93879,0.34991,0.22026,1.04904,0.00643,0.00536934,0.00536934,0.00536934
32,2761.63,0.51488,0.32046,1.16093,0.0118,0.98346,0.98334,0.99396,0.93817,0.35188,0.21165,1.054,0.00494,0.00534968,0.00534968,0.00534968
33,2847.24,0.50206,0.31282,1.14922,0.01119,0.98477,0.98249,0.99428,0.94432,0.33382,0.19775,1.02879,0.00453,0.00533001,0.00533001,0.00533001
34,2933.17,0.50356,0.31324,1.14434,0.01148,0.98568,0.98054,0.99418,0.94085,0.33707,0.20748,1.0461,0.00429,0.00531034,0.00531034,0.00531034
35,3018.91,0.49234,0.31107,1.13631,0.011,0.97996,0.98833,0.99422,0.94192,0.33673,0.20337,1.04013,0.00519,0.00529068,0.00529068,0.00529068
36,3104.54,0.50165,0.31342,1.14585,0.01148,0.98416,0.98054,0.99389,0.93944,0.35589,0.21674,1.07135,0.00397,0.00527101,0.00527101,0.00527101
37,3190.03,0.50894,0.31991,1.15598,0.01151,0.98059,0.98274,0.99378,0.94512,0.32905,0.21386,1.03105,0.00513,0.00525135,0.00525135,0.00525135
38,3275.86,0.49655,0.31329,1.15248,0.01142,0.97788,0.98903,0.99381,0.94408,0.33277,0.20933,1.03513,0.00411,0.00523168,0.00523168,0.00523168
39,3361.73,0.50295,0.3143,1.14004,0.01068,0.98636,0.98466,0.99414,0.94739,0.32831,0.20266,1.03092,0.00405,0.00521202,0.00521202,0.00521202
40,3447.81,0.48893,0.30717,1.13398,0.01165,0.9779,0.9901,0.99419,0.94128,0.33638,0.20258,1.04771,0.00399,0.00519235,0.00519235,0.00519235
