epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1905,1.18672,2.27353,1.24385,0.91585,0.83715,0.9321,0.78797,0.67443,0.70806,0.88104,0.000218604,0.000218604,0.0672325
2,102.074,0.72998,0.6011,0.89775,0.99388,0.96146,0.99153,0.8365,0.68731,0.44769,0.86228,0.00043806,0.00043806,0.0341186
3,139.984,0.67128,0.47251,0.87658,0.97986,0.97633,0.99015,0.84612,0.63937,0.40685,0.8437,0.000656057,0.000656057,0.00100328
4,178.57,0.65247,0.42658,0.8662,0.98993,0.98817,0.99471,0.87232,0.586,0.33977,0.83032,0.000656156,0.000656156,0.000656156
5,216.038,0.64392,0.40936,0.85916,0.9936,0.99408,0.99441,0.83961,0.64483,0.36232,0.83446,0.000653969,0.000653969,0.000653969
6,254.237,0.6315,0.38785,0.85648,0.99216,0.99408,0.99482,0.86687,0.58447,0.3384,0.83428,0.000651782,0.000651782,0.000651782
7,291.734,0.61499,0.37861,0.86012,0.98822,0.99303,0.99274,0.86188,0.61183,0.35262,0.84307,0.000649595,0.000649595,0.000649595
8,329.747,0.60285,0.37576,0.85485,0.99404,0.98773,0.99405,0.86292,0.61192,0.35032,0.84013,0.000647408,0.000647408,0.000647408
9,367.637,0.59777,0.37724,0.85335,0.99408,0.99408,0.99482,0.85665,0.60676,0.35221,0.83695,0.000645221,0.000645221,0.000645221
10,405.448,0.59256,0.36179,0.84573,0.99339,0.98225,0.99443,0.85506,0.61567,0.35997,0.83137,0.000643034,0.000643034,0.000643034
11,443.514,0.57958,0.35392,0.84833,0.98816,0.98786,0.99382,0.86279,0.61466,0.35527,0.83121,0.000640847,0.000640847,0.000640847
12,481.645,0.55517,0.34187,0.84277,0.994,0.98225,0.99448,0.87014,0.57955,0.3369,0.82838,0.00063866,0.00063866,0.00063866
13,519.622,0.56587,0.34643,0.84642,0.9936,0.98817,0.99412,0.87094,0.5687,0.32875,0.82655,0.000636473,0.000636473,0.000636473
14,557.562,0.55883,0.34849,0.84272,0.99371,0.98225,0.99441,0.86484,0.58512,0.33104,0.82272,0.000634286,0.000634286,0.000634286
15,595.563,0.5629,0.3457,0.84862,0.98816,0.9881,0.99418,0.86932,0.57633,0.32626,0.83024,0.000632099,0.000632099,0.000632099
