epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7127,1.34046,4.33522,1.46128,0.95428,0.71006,0.84222,0.6349,0.90634,1.35581,1.06148,0.000110243,0.000110243,0.0671241
2,68.3918,0.75174,0.90394,0.92898,0.97422,0.89443,0.96382,0.80159,0.73721,0.63428,0.89832,0.000220915,0.000220915,0.0339015
3,84.999,0.63552,0.49851,0.83238,0.97579,0.97041,0.9851,0.79846,0.73302,0.48034,0.87866,0.000330852,0.000330852,0.000678075
4,101.623,0.56159,0.39866,0.8105,0.9965,0.97633,0.99021,0.82787,0.66547,0.43261,0.85583,0.000330902,0.000330902,0.000330902
5,118.637,0.50984,0.35474,0.79993,0.99351,0.97633,0.99249,0.82953,0.65498,0.41362,0.85104,0.000329799,0.000329799,0.000329799
6,135.996,0.46359,0.32516,0.79299,0.98761,0.98817,0.99322,0.82578,0.6649,0.40934,0.85421,0.000328696,0.000328696,0.000328696
7,153.331,0.42907,0.30481,0.78833,1,0.98741,0.99439,0.82027,0.71022,0.40344,0.85916,0.000327594,0.000327594,0.000327594
8,170.345,0.40405,0.29049,0.78392,0.99922,0.98225,0.99444,0.82973,0.67764,0.40067,0.85816,0.000326491,0.000326491,0.000326491
9,187.312,0.37249,0.27738,0.7811,0.99401,0.98131,0.99417,0.82858,0.66983,0.3883,0.8524,0.000325388,0.000325388,0.000325388
10,204.318,0.34562,0.2625,0.7764,0.994,0.98104,0.99421,0.84625,0.64661,0.36612,0.84923,0.000324285,0.000324285,0.000324285
11,221.507,0.33255,0.2539,0.77517,0.99262,0.98225,0.99476,0.8413,0.68967,0.37956,0.85669,0.000323182,0.000323182,0.000323182
12,238.671,0.31701,0.24666,0.77432,1,0.9801,0.99482,0.83306,0.66755,0.36927,0.85963,0.000322079,0.000322079,0.000322079
13,255.804,0.29575,0.23566,0.77378,0.98684,0.98817,0.99476,0.83014,0.67206,0.36289,0.85688,0.000320976,0.000320976,0.000320976
14,272.903,0.28822,0.22882,0.7701,0.99375,0.98817,0.99477,0.83776,0.66112,0.36518,0.84795,0.000319873,0.000319873,0.000319873
15,290.008,0.27539,0.22356,0.77005,0.99404,0.98634,0.99477,0.83195,0.67529,0.35867,0.86018,0.00031877,0.00031877,0.00031877
16,307.049,0.26746,0.21566,0.7689,0.99312,0.98817,0.9946,0.83138,0.6494,0.35732,0.85161,0.000317668,0.000317668,0.000317668
17,324.142,0.2644,0.21499,0.76956,0.99384,0.98817,0.99477,0.84369,0.64513,0.34397,0.85122,0.000316565,0.000316565,0.000316565
18,341.226,0.2526,0.20714,0.76916,0.99404,0.9867,0.99471,0.84502,0.66858,0.36084,0.85976,0.000315462,0.000315462,0.000315462
19,358.23,0.24453,0.20461,0.7679,0.98621,0.98817,0.99465,0.83529,0.66999,0.3713,0.8532,0.000314359,0.000314359,0.000314359
20,375.362,0.23892,0.20005,0.76664,0.98725,0.98817,0.99454,0.82827,0.65262,0.35924,0.84787,0.000313256,0.000313256,0.000313256
21,392.425,0.23085,0.19166,0.76631,0.99401,0.98145,0.99471,0.84542,0.63223,0.36438,0.84735,0.000312153,0.000312153,0.000312153
22,409.587,0.22691,0.1876,0.76621,0.99404,0.9868,0.99454,0.83532,0.67343,0.3537,0.85925,0.00031105,0.00031105,0.00031105
23,426.778,0.21954,0.18311,0.76468,0.99404,0.9865,0.99476,0.83549,0.66729,0.35701,0.85286,0.000309947,0.000309947,0.000309947
24,443.857,0.21627,0.18038,0.76497,0.99405,0.98886,0.99488,0.83712,0.64729,0.34487,0.84878,0.000308844,0.000308844,0.000308844
25,460.925,0.21598,0.17965,0.76545,0.9923,0.98817,0.99471,0.83118,0.66462,0.35616,0.85831,0.000307741,0.000307741,0.000307741
26,478.052,0.21048,0.17622,0.76473,0.99371,0.98817,0.99471,0.83711,0.66064,0.35847,0.85501,0.000306639,0.000306639,0.000306639
27,495.092,0.20787,0.17518,0.76507,0.99287,0.98817,0.99415,0.83222,0.6547,0.36428,0.85183,0.000305536,0.000305536,0.000305536
28,512.212,0.20176,0.17295,0.7638,0.98672,0.98817,0.99385,0.83932,0.64411,0.36653,0.84736,0.000304433,0.000304433,0.000304433
29,529.359,0.20082,0.17021,0.7634,0.99403,0.9859,0.99471,0.82964,0.66513,0.35584,0.85241,0.00030333,0.00030333,0.00030333
30,546.465,0.19956,0.1677,0.76341,0.9934,0.98817,0.9946,0.83852,0.64627,0.34015,0.85212,0.000302227,0.000302227,0.000302227
