epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8211,1.39875,4.65577,1.51852,0.57613,0.65951,0.59946,0.42434,0.89527,2.00956,1.14185,4.72909e-05,4.72909e-05,0.0670612
2,85.9982,1.03513,1.46738,1.10995,0.98383,0.86982,0.96131,0.76606,0.73791,0.77697,0.89512,9.47659e-05,9.47659e-05,0.0337753
3,112.709,0.96962,0.79559,1.0133,0.98791,0.96679,0.99122,0.79263,0.74133,0.50592,0.86922,0.000141925,0.000141925,0.000489148
4,140.362,0.93384,0.6386,0.99995,0.96867,0.98225,0.9925,0.78464,0.764,0.45208,0.86623,0.000141947,0.000141947,0.000141947
5,167.379,0.92048,0.55449,0.97728,0.98816,0.98807,0.99465,0.77433,0.79963,0.41727,0.85717,0.000141474,0.000141474,0.000141474
6,194.189,0.87436,0.50856,0.95467,0.9806,0.99408,0.99471,0.81411,0.7168,0.37757,0.84436,0.000141001,0.000141001,0.000141001
7,221.414,0.85678,0.47126,0.94633,0.98094,0.99408,0.99441,0.8003,0.72856,0.37454,0.84539,0.000140528,0.000140528,0.000140528
8,248.502,0.857,0.46723,0.94366,0.98824,0.99406,0.99434,0.7763,0.82426,0.39328,0.85919,0.000140054,0.000140054,0.000140054
9,275.375,0.83468,0.45068,0.93639,0.99408,0.99286,0.99453,0.78738,0.77308,0.36326,0.85091,0.000139581,0.000139581,0.000139581
10,302.372,0.82056,0.44001,0.92591,0.99297,0.99408,0.9947,0.79492,0.73304,0.35547,0.84137,0.000139108,0.000139108,0.000139108
11,329.463,0.80825,0.43535,0.92263,0.99318,0.99408,0.99476,0.80198,0.74771,0.3593,0.8391,0.000138635,0.000138635,0.000138635
12,356.408,0.77947,0.41611,0.90759,0.99391,0.99408,0.99453,0.79843,0.75166,0.35411,0.83937,0.000138162,0.000138162,0.000138162
13,383.369,0.80381,0.42225,0.92185,0.99386,0.99408,0.99417,0.77086,0.82569,0.3793,0.85197,0.000137689,0.000137689,0.000137689
14,410.403,0.77243,0.41076,0.91527,0.99411,0.999,0.99441,0.77348,0.81638,0.36806,0.8506,0.000137216,0.000137216,0.000137216
15,437.347,0.76167,0.40765,0.90733,0.99363,0.99408,0.9947,0.78374,0.7695,0.36401,0.84438,0.000136743,0.000136743,0.000136743
16,464.342,0.74715,0.40186,0.90497,0.99411,0.99902,0.993,0.77939,0.76326,0.35525,0.84002,0.00013627,0.00013627,0.00013627
17,491.503,0.74326,0.39833,0.90206,0.99372,0.99408,0.99488,0.79212,0.74449,0.35716,0.83904,0.000135796,0.000135796,0.000135796
18,518.515,0.73451,0.38443,0.90258,0.99408,0.99395,0.99322,0.75687,0.841,0.38051,0.85469,0.000135323,0.000135323,0.000135323
19,545.506,0.74096,0.39678,0.90767,0.99291,0.99408,0.99488,0.78629,0.77617,0.36313,0.8403,0.00013485,0.00013485,0.00013485
20,572.535,0.71704,0.37605,0.89925,0.99411,0.99834,0.99476,0.8238,0.66042,0.3356,0.8245,0.000134377,0.000134377,0.000134377
21,599.631,0.72264,0.38511,0.89143,0.99408,0.99398,0.99441,0.79584,0.72747,0.35428,0.83114,0.000133904,0.000133904,0.000133904
22,626.707,0.70281,0.3852,0.88789,0.99408,0.99361,0.99488,0.83093,0.64119,0.33719,0.82255,0.000133431,0.000133431,0.000133431
23,653.779,0.69105,0.37038,0.88418,0.99347,0.99408,0.99476,0.83335,0.62064,0.33643,0.82027,0.000132958,0.000132958,0.000132958
24,680.806,0.70098,0.37706,0.88949,0.99408,0.99406,0.99494,0.81951,0.65811,0.32728,0.82501,0.000132485,0.000132485,0.000132485
25,707.857,0.68419,0.36736,0.88251,0.99408,0.99379,0.99488,0.79577,0.72379,0.33694,0.83232,0.000132012,0.000132012,0.000132012
26,734.974,0.6824,0.35883,0.88771,0.99389,0.99408,0.99488,0.81102,0.66973,0.32121,0.82824,0.000131539,0.000131539,0.000131539
27,762.027,0.67275,0.35621,0.88475,0.9931,0.99408,0.99482,0.82856,0.64306,0.31805,0.82277,0.000131065,0.000131065,0.000131065
28,789.013,0.68451,0.36149,0.88671,0.99371,0.99408,0.99482,0.84412,0.62121,0.31188,0.82104,0.000130592,0.000130592,0.000130592
29,816.07,0.68435,0.36074,0.88989,0.99408,0.99324,0.99459,0.83749,0.61037,0.31444,0.82101,0.000130119,0.000130119,0.000130119
30,843.093,0.67775,0.36461,0.88838,0.99408,0.99399,0.99494,0.83747,0.63672,0.3228,0.8212,0.000129646,0.000129646,0.000129646
31,870.091,0.66791,0.35514,0.875,0.99325,0.99408,0.99488,0.84481,0.62812,0.3168,0.81958,0.000129173,0.000129173,0.000129173
32,897.149,0.66152,0.35548,0.87884,0.99408,0.99284,0.99488,0.85317,0.6081,0.30884,0.81887,0.0001287,0.0001287,0.0001287
