epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4129,0.9351,2.17217,0.98177,0.90448,0.87574,0.9411,0.71397,0.90667,1.73638,0.93676,0.000659722,0.000659722,0.000659722
2,33.3339,0.85237,1.22465,0.93444,0.93261,0.90074,0.94781,0.70591,0.92172,0.94526,0.97713,0.00128262,0.00128262,0.00128262
3,48.8058,0.82269,0.84798,0.92223,0.99734,0.92899,0.97228,0.71421,1.00129,0.80519,0.99396,0.00186151,0.00186151,0.00186151
4,64.0692,0.78553,0.68157,0.91455,0.958,0.94675,0.98304,0.77345,0.87975,0.61241,0.94026,0.001802,0.001802,0.001802
5,79.3589,0.73806,0.58034,0.8978,0.98184,0.95266,0.98258,0.75519,0.82677,0.58542,0.91852,0.001736,0.001736,0.001736
6,94.7418,0.70445,0.5252,0.8825,0.9706,0.85207,0.9304,0.74556,0.80851,0.6967,0.94538,0.00167,0.00167,0.00167
7,110.053,0.66493,0.48241,0.87039,0.97876,0.94083,0.98056,0.79397,0.77839,0.55711,0.92056,0.001604,0.001604,0.001604
8,125.556,0.61611,0.42921,0.85236,0.95776,0.98225,0.98836,0.77838,0.79237,0.47855,0.90034,0.001538,0.001538,0.001538
9,140.969,0.57396,0.40646,0.84165,0.99291,0.97041,0.99219,0.80857,0.75087,0.44956,0.89047,0.001472,0.001472,0.001472
10,156.349,0.53642,0.38053,0.83275,0.97072,0.9807,0.98734,0.77366,0.88188,0.48576,0.91485,0.001406,0.001406,0.001406
11,171.632,0.5477,0.38115,0.82845,0.97587,0.95719,0.98609,0.81453,0.70165,0.45206,0.8804,0.00134,0.00134,0.00134
12,186.951,0.4952,0.35217,0.81921,0.98775,0.95417,0.98696,0.8048,0.77873,0.45415,0.90002,0.001274,0.001274,0.001274
13,202.295,0.4517,0.32938,0.81269,0.98786,0.96308,0.98084,0.79613,0.75058,0.48565,0.88963,0.001208,0.001208,0.001208
14,217.571,0.43282,0.31388,0.8072,0.98099,0.97041,0.98996,0.81166,0.74975,0.43259,0.89904,0.001142,0.001142,0.001142
15,232.936,0.40244,0.29737,0.80332,1,0.9577,0.98722,0.80392,0.76325,0.45506,0.90971,0.001076,0.001076,0.001076
16,248.314,0.40463,0.29974,0.80246,0.9924,0.95858,0.97362,0.79812,0.7222,0.47377,0.8946,0.00101,0.00101,0.00101
17,263.747,0.38946,0.28703,0.79731,0.98794,0.96958,0.98435,0.7957,0.80801,0.45522,0.90795,0.000944,0.000944,0.000944
18,279.161,0.35492,0.27443,0.7916,0.9929,0.97041,0.99113,0.81886,0.70659,0.4196,0.89276,0.000878,0.000878,0.000878
19,294.544,0.32896,0.25948,0.78836,0.99382,0.9513,0.97984,0.81779,0.6976,0.4275,0.89316,0.000812,0.000812,0.000812
20,309.887,0.29871,0.24032,0.78461,0.9926,0.97041,0.98447,0.80725,0.74237,0.42301,0.88829,0.000746,0.000746,0.000746
21,326.742,0.28716,0.2345,0.78371,0.99311,0.97041,0.98118,0.81996,0.65765,0.42212,0.8773,0.00068,0.00068,0.00068
22,342.207,0.2695,0.22186,0.78046,0.9933,0.97041,0.99153,0.82703,0.713,0.41231,0.89621,0.000614,0.000614,0.000614
23,357.754,0.25739,0.21149,0.77857,0.99284,0.97041,0.99083,0.81948,0.68432,0.39164,0.88519,0.000548,0.000548,0.000548
24,373.084,0.23611,0.19859,0.77619,0.99291,0.97041,0.98415,0.81348,0.71153,0.42389,0.88754,0.000482,0.000482,0.000482
25,388.474,0.21869,0.18942,0.77332,0.99358,0.97041,0.98415,0.82393,0.6859,0.40898,0.86947,0.000416,0.000416,0.000416
26,403.926,0.20077,0.178,0.77297,0.99348,0.97041,0.99288,0.83221,0.67072,0.39682,0.86852,0.00035,0.00035,0.00035
27,419.309,0.18461,0.16648,0.76979,0.99323,0.97041,0.99105,0.82202,0.68197,0.39766,0.87505,0.000284,0.000284,0.000284
28,434.653,0.17512,0.15924,0.7698,0.99311,0.97041,0.99283,0.82706,0.67571,0.39569,0.87147,0.000218,0.000218,0.000218
29,449.972,0.1635,0.15035,0.76865,0.99342,0.97041,0.99184,0.82113,0.69393,0.40806,0.8764,0.000152,0.000152,0.000152
30,465.299,0.1462,0.14051,0.76696,0.99346,0.97041,0.99176,0.82412,0.6756,0.40019,0.87308,8.6e-05,8.6e-05,8.6e-05
